ID,Location,URL,Size (m²),Condominio Content,Price By Month,Price Condominio,Whatsapp Contact
1,"Rua Anny - Sacoma, São Paulo - SP",https://www.vivareal.com.br/imovel/casa-1-quartos-sacoma-zona-sul-sao-paulo-50m2-aluguel-RS650-id-2459228125/,50,[],R$ 650,,(11) 5063-0006
2,"Avenida Vieira de Carvalho, 80 - República, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-republica-centro-sao-paulo-com-garagem-40m2-aluguel-RS1400-id-2472142120/,40,['Elevador'],R$ 1.400,R$ 520,(11) 4059-5669
3,"Rua Bela Cintra, 488 - Consolação, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-centro-sao-paulo-com-garagem-43m2-aluguel-RS2800-id-2478509278/,43,"['Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', 'Playground', '...']",R$ 2.800,R$ 579,(11) 9959-8197
4,"Rua Doutor Plínio Barreto - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-38m2-aluguel-RS2000-id-2470249690/,38,"['Elevador', 'Salão de festas', 'Playground', 'Jardim', 'Condomínio fechado']",R$ 2.000,R$ 420,(11) 94729-9151
5,"Rua São João Batista - Cambuci, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambuci-zona-sul-sao-paulo-com-garagem-72m2-aluguel-RS1550-id-2478583073/,72,"['Área de serviço', 'Salão de festas', 'Playground', 'Jardim', '...']",R$ 1.550,R$ 380,(11) 3346-8080
6,"Alameda Ministro Rocha Azevedo, 38 - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-60m2-aluguel-RS2500-id-2481566290/,60,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",R$ 2.500,R$ 1.000,(11) 3881-5678
7,"Rua Engenheiro Armando de Virgiliis, 200 - Chácara Klabin, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-60m2-aluguel-RS2200-id-2481770599/,60,"['Elevador', 'Piscina', 'Área de serviço', 'Churrasqueira', 'Salão de festas', '...']",R$ 2.200,R$ 750,(11) 98279-4337
8,"Rua Adolfo Gordo, 52 - Santa Cecilia, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-santa-cecilia-centro-sao-paulo-com-garagem-38m2-aluguel-RS1900-id-2481604090/,38,"['Mobiliado', 'Elevador', 'Piscina', 'Salão de festas', 'Academia', '...']",R$ 1.900,R$ 503,(11) 98409-0752
9,"Rua Rocha, 58 - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-35m2-aluguel-RS1390-id-2481026240/,35,"['Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', 'Academia', '...']",R$ 1.390,R$ 700,(11) 4369-7812
10,"Rua Barão de Iguape, 985 - Liberdade, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-centro-sao-paulo-com-garagem-45m2-aluguel-RS1500-id-2481730046/,45,"['Elevador', 'Área de serviço', 'Varanda']",R$ 1.500,R$ 320,(11) 4117-1699
11,"Alameda Ministro Rocha Azevedo, 373 - Jardim Paulista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-85m2-aluguel-RS3800-id-2481376874/,85,"['Elevador', 'Salão de festas', 'Quadra poliesportiva']",R$ 3.800,R$ 1.020,(11) 3207-5855
12,"Rua Demóstenes, 606 - Campo Belo, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-48m2-aluguel-RS3600-id-2478379816/,48,"['Mobiliado', 'Elevador', 'Piscina', 'Salão de festas', 'Academia', '...']",R$ 3.600,R$ 766,(11) 99346-8324
13,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-45m2-aluguel-RS7500-id-2477825764/,45,"['Mobiliado', 'Elevador', 'Piscina', 'Academia', 'Jardim', '...']",R$ 7.500,,(11) 3449-8949
14,"Rua Antônio Carlos, 196 - Cerqueira César, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-centro-sao-paulo-38m2-aluguel-RS1850-id-2480074460/,38,"['Área de serviço', 'Condomínio fechado']",R$ 1.850,R$ 352,(11) 3133-2100
15,"Avenida Barão do Rego Barros - Vila Congonhas, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-45m2-venda-RS342000-id-2480816073/,45,"['Elevador', 'Área de serviço', 'Varanda', '...']",R$ 1.300,R$ 680,(11) 5092-4773
16,"Alameda Jaú, 1607 - Jardim Paulista, São Paulo - SP",https://www.vivareal.com.br/imovel/flat-1-quartos-jardins-zona-oeste-sao-paulo-com-garagem-43m2-aluguel-RS2200-id-2481302282/,43,"['Mobiliado', 'Elevador', 'Piscina', 'Salão de festas', 'Academia', '...']",R$ 2.200,R$ 2.800,(11) 5042-6200
17,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",R$ 2.900,R$ 440,(11) 99408-2089
18,"Alameda Lorena, 1160 - Jardim Paulista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-41m2-aluguel-RS2500-id-2480744180/,41,"['Mobiliado', 'Elevador', 'Piscina', 'Academia', 'Sauna', '...']",R$ 2.500,,(11) 3051-6522
19,"Rua Bela Cintra, 521 - Consolação, São Paulo - SP",https://www.vivareal.com.br/imovel/flat-1-quartos-consolacao-centro-sao-paulo-com-garagem-48m2-aluguel-RS1500-id-2481073532/,48,"['Mobiliado', 'Elevador', 'Piscina', 'Salão de festas', 'Academia', '...']",R$ 1.500,R$ 1.800,(11) 5042-6200
20,"Rua Helena - Vila Olímpia, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-93m2-aluguel-RS8500-id-2479772499/,93,"['Mobiliado', 'Elevador', 'Área de serviço', 'Varanda', 'Condomínio fechado', '...']",R$ 8.500,R$ 1.400,(11) 3892-0820
21,"Rua Bela Cintra, 450 - Consolação, São Paulo - SP",https://www.vivareal.com.br/imovel/flat-1-quartos-consolacao-centro-sao-paulo-com-garagem-28m2-aluguel-RS1600-id-2481185463/,28,"['Mobiliado', 'Elevador', 'Academia', 'Sauna', 'Ar-condicionado', '...']",R$ 1.600,R$ 600,(11) 3059-0846
22,"Avenida Jandira - Indianópolis, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-moema-zona-sul-sao-paulo-com-garagem-42m2-venda-RS790000-id-2478847491/,42,"['Piscina', 'Salão de festas', 'Varanda', 'Ar-condicionado', 'Spa', '...']",R$ 3.600,R$ 850,(11) 97514-7161
23,"Rua Casa do Ator, 829 - Vila Olímpia, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-41m2-aluguel-RS4500-id-2481161589/,41,"['Mobiliado', 'Elevador', 'Piscina', 'Academia', 'Jardim', '...']",R$ 4.500,R$ 700,(11) 99557-0859
24,"Interlagos, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-2-quartos-interlagos-zona-sul-sao-paulo-com-garagem-55m2-aluguel-RS15000-id-2477393559/,55,"['Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', 'Playground', '...']",R$ 15.000,R$ 450,(11) 99494-4049
